Concern,Total Posts,Positive %,Negative %,Neutral %
Others,62829,56.481879386907316,42.367378121568066,1.1507424915246145
Timeline,35778,58.770752976689586,39.94913075074068,1.2801162725697357
Accessibility,23867,55.22269242049692,43.52872166589852,1.2485859136045587
Legality,16049,60.15328057822917,38.637921365817185,1.208798055953642
Support/Advice,15521,56.658720443270404,42.14934604729077,1.1919335094388248
Cost,4295,52.73573923166472,46.16996507566938,1.0942956926658907
Political,606,49.504950495049506,49.504950495049506,0.9900990099009901
