Model,RMSE,R-squared (R2),text_features,period_vec,num_comments,is_self,over_18
Random Forest Regression (Tuned),12.06919212809719,0.33132728447400683,0.010608381683026675,0.005174909553586666,0.00028099669399093996,0.0003617287800958501,0.00356820026974385
GBT Regression (Tuned),12.555191671741287,0.27639110743423567,0.006111755270045366,0.00933572351226492,0.0009108905036837366,0.0,0.0017531842237943985
